,roi,mtx,dist,width,height
0,"(0, 0, 1279, 719)","[[463.12231255   0.         614.95152465]
 [  0.         412.06722467 296.97704083]
 [  0.           0.           1.        ]]","[[-1.17272383e+00  8.88689915e+00 -2.46717705e-04  9.46235584e-02
  -2.26395646e+01]]",1279,719
1,"(0, 0, 1279, 719)","[[463.12231255   0.         614.95152465]
 [  0.         412.06722467 296.97704083]
 [  0.           0.           1.        ]]","[[-1.17272383e+00  8.88689915e+00 -2.46717705e-04  9.46235584e-02
  -2.26395646e+01]]",1279,719
